term,definition,category,example,correct,attempts,last_tested
Bends (Archwire bends),"Localized permanent
deformations, placed into an
archwire, that change its direction
and/or orientation from the
original. Bends are added to an
archwire for various reasons.
Some bends are placed without
the purpose of generating any
forces (e.g. bends placed to
account for discrepancies in
bracket positioning or tooth
anatomy, to bypass teeth that will not be included in the archwire, or to avoid possible deformation
of the archwire due to chewing). However, most bends are added with the purpose of generating a
force system necessary for a specific tooth movement. Archwire bends were an indispensable part
of treatment with the standard edgewise appliance, whereas with the straight-wire appliance they
are supposed to be either avoided or greatly reduced. According to the orthodontic coordinate
system introduced by C. H. Tweed, bends on an orthodontic wire are roughly categorized as 1storder, 2nd-order and 3rd-order bends.",,,,,
"Bends (Archwire bends)
• Artistic bends (Esthetic bends)","Bends to position anterior teeth for optimal
esthetic appeal. (Usually referring to second-order
bends on anterior teeth).",,,,,
"Bends (Archwire bends)
• Distal-end bends (Cinching bends, Distal-end
stops)","Bends (usually in a gingival and/or medial direction) made on the archwire (after it is placed in all
the brackets), distal to the terminal attachment, to secure the archwire in place and prevent it from
shifting through the brackets and causing soft tissue impingement during the time interval between
patient visits. Distal-end bends are also useful in avoiding excessive proclination of the anterior
teeth during leveling.
[See Cinching (of the archwire)]",,,,,
"Bends (Archwire bends)
• First-order bends (Offsets, In-out bends, Bayonet bends)Labiolingual offsets (step bends)","in the archwire in the horizontal plane (in the plane of the wire), to
accommodate for variations in the prominence and contour of labial/buccal surfaces of individual
teeth. Typical locations along the archwire in which first-order bends were placed with the standard
edgewise appliance were mesial to the maxillary lateral incisors (insets or step-in bends), canines
(offsets, canine eminence bends, curvature or step-out bends) and first molars (offsets, step-out or
molar bayonet bends). [Note: Vertical step bends that do not change the angulation of a tooth (e.g.
step-up mesial and equal step-down distal to a bracket) are also considered first-order bends. ]",,,,,
"Bends (Archwire bends)
• Second-order bends (Tip bends)","Offsets in the archwire in the vertical plane, to change
the angulation (mesiodistal tipping) of a tooth.",,,,,
"Bends (Archwire bends)
• Step bends","Labiolingual or occlusogingival offsets in an archwire,
in such a way that the segments of the wire on either
side of the bend remain parallel to each other. A step
bend generates equal and opposite forces and
moments of equal magnitude and identical sense
between the two teeth adjacent to it (corresponding
to Burstone’s geometry I). The magnitude of these
forces and moments depends on the size of the step,
the type and size of wire and the interbracket
distance. Unlike V-bends, the force system created
by a step bend remains practically unaffected by
changing the location (mesiodistal position) of the
step bend along the span between the two brackets.
[Compare with Bends (Archwire bends), V-bends
(Gable bends)]",,,,,
"Bends (Archwire bends)

• Stop bends","bends that serve as archwire stops to keep the arch length constant, or to maintain the actual
position of certain teeth.",,,,,
"Bends (Archwire bends)
• Third-order bends (Torquing bends)","Twists in a rectangular archwire, placed when a change of the buccolingual or labiolingual
inclination of specific teeth is desired.",,,,,
Bends (Archwire bends) • Tip-back bends,"V-bends placed to tip teeth distally (as is typically done
during the anchorage preparation stage of the Tweed
technique).",,,,,
Newton's laws,"All principles of mechanics are based on three physical laws presented in 1686 by Sir I. Newton in
his ""Philosophea Naturalis Mathematica. "" The laws of Newton are:

SUBTERMS:
Newton's laws
• I. Law of inertia
When the sum of all the external forces acting on a body is zero, the motion of the body is
unchanged (the body either remains at rest, or continues its motion at a straight line with a
constant velocity).
Newton's laws
• II. Law of acceleration
If the sum of all the forces acting on a body is not equal to zero, the motion of the body is
accelerated along the line of action of the resultant force. The acceleration is proportional to the
resultant force and inversely proportional to the mass of the body.
Newton's laws
• III. Law of action and reaction
To every force (action) in a given system, there is an equal and opposite reaction force, so that the
sum of all the forces (SF) and the sum of all the moments (SM) in the system always is equal to
zero.",,,,,
Bite force,"The force exerted by the masticatory musculature during biting, measured between particular
occluding teeth—a parameter that is difficult to control. For standardization purposes, research
attempts sometimes have turned to measuring ""maximum bite force,"" a concept of relatively little
value as it is rarely attained in everyday human masticatory function.",,,,,
"Bends (Archwire bends)
• Tip-forward bends","V-bends placed to tip teeth mesially.
[Compare with Bends (Archwire bends), Tip-back bends]",,,,,
"Bends (Archwire bends)
• Toe-in bends","V-bends in the horizontal plane, typically placed at the ends of an archwire, to
achieve derotation or constriction of the terminal molars.",,,,,
"Bends (Archwire bends)
• V-bends (Gable bends)","1. ""V""-shaped bends with multiple applications, such as to avoid tipping of teeth into extraction
sites during space closure. V-bends generate different force systems between two teeth, or two
segments of teeth,
depending on the location of
the ""V"" along the wire (in
relation to the two brackets).
When the V-bend is in the
center of the interbracket
distance, the created force
system involves equal and
opposite moments between
the teeth (corresponding to
Burstone’s geometry VI).
[Note: According to the
above definition, a V-bend
changes the orientation of
the long axis of the wire (i.e.
the segment of the wire distal to the bend is no longer parallel with that mesial to it)].
2. The term V-bend occasionally is mentioned to denote a V-shaped stop (lug) bent into the
archwire, maintaining the original wire orientation distal to it, as it is mesial to the bend.
[See Burstone’s geometry classes]
[See Archwire stop]",,,,,
Bennett angle,"On a lateral mandibular excursion, the non-working side condyle moves inferiorly, anteriorly and
medially. The projection of this trajectory on the horizontal plane creates an angle with the sagittal
plane, called the Bennett angle.
Bennett movement
Lateral translation (sideshift) of the working side condyle during a lateral mandibular excursion.
[See Bennett angle]",,,,,
Beta position,"The posterior component of an orthodontic spring, or the posterior point of attachment of a spring.
[Compare with Alpha position]",,,,,
"Beta-titanium alloy (TMA, b-Ti, Titanium-molybdenum alloy)","A group of titanium-based alloys in which the elevated temperature body-centered cubic beta
phase (crystalline structure) is stable at room temperature, rather than the hexagonal close-packed
alpha phase. One such alloy, made of 77.8% titanium, 11.3% molybdenum, 6.6% zirconium, and
4.3% tin, was introduced to orthodontics in 1980 by C. J. Burstone and J. A. Goldberg, under the
commercial name TMA (Ormco/Sybron). TMA has a modulus of elasticity which is approximately
40% of that of stainless steel and double that of Nitinol. As well, it has excellent resilience and
reasonably good formability, which allows stops and loops to be bent into the wire. In addition,
beta-titanium wires can be spot-welded. However,its drawback is its high friction coefficient. The
properties of TMA make it a good choice for fabrication of auxiliary springs and for intermediate
and finishing archwires.",,,,,
